Unnamed: 0,HOU,CIN,week,year,game_id
First Downs,28,20,10.0,2023,139
Rush-Yds-TDs,34-188-2,16-66-1,10.0,2023,139
Cmp-Att-Yd-TD-INT,23-39-356-1-1,27-40-347-2-2,10.0,2023,139
Sacked-Yards,1-0,4-33,10.0,2023,139
Net Pass Yards,356,314,10.0,2023,139
Total Yards,544,380,10.0,2023,139
Fumbles-Lost,2-2,1-0,10.0,2023,139
Turnovers,3,2,10.0,2023,139
Penalties-Yards,7-50,4-63,10.0,2023,139
Third Down Conv.,4-13,6-14,10.0,2023,139
Fourth Down Conv.,0-1,1-1,10.0,2023,139
Time of Possession,31:30,28:30,10.0,2023,139
