Quarter,Time,Down,ToGo,Location,DET,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Lions won the coin toss and deferred, Chargers to receive the opening kickoff.",,,10.0,2023,145
1.0,15:00,,,DET 35,0.0,0.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,145
1.0,15:00,1.0,10.0,LAC 25,0.0,0.0,Austin Ekeler left guard for 1 yard (tackle by John Cominsky),0.61,0.2,10.0,2023,145
1.0,14:26,2.0,9.0,LAC 26,0.0,0.0,Justin Herbert pass complete short middle to Austin Ekeler for 3 yards (tackle by Jack Campbell),0.2,-0.1,10.0,2023,145
1.0,13:50,3.0,6.0,LAC 29,0.0,0.0,Justin Herbert pass incomplete short right intended for Keenan Allen,-0.1,-1.44,10.0,2023,145
1.0,13:44,4.0,6.0,LAC 29,0.0,0.0,"JK Scott punts 58 yards, returned by Kalif Raymond for 12 yards (tackle by Josh Harris)",-1.44,-0.61,10.0,2023,145
1.0,13:32,1.0,10.0,DET 25,0.0,0.0,Jared Goff pass complete short left to Sam LaPorta for 9 yards (tackle by Eric Kendricks),0.61,1.28,10.0,2023,145
1.0,12:57,2.0,1.0,DET 34,0.0,0.0,David Montgomery right tackle for 8 yards (tackle by Nick Williams),1.28,1.73,10.0,2023,145
1.0,12:16,1.0,10.0,DET 42,0.0,0.0,Jared Goff pass complete deep middle to Amon-Ra St. Brown for 46 yards (tackle by Alohi Gilman),1.73,4.78,10.0,2023,145
1.0,11:40,1.0,10.0,LAC 12,0.0,0.0,David Montgomery right guard for 2 yards (tackle by Sebastian Joseph-Day and Austin Johnson),4.78,4.45,10.0,2023,145
1.0,10:56,2.0,8.0,LAC 10,0.0,0.0,"Jared Goff pass complete to Jameson Williams for no gain. Penalty on Taylor Decker: Offensive Low Block, 15 yards (accepted) (no play)",4.45,2.47,10.0,2023,145
1.0,10:50,2.0,23.0,LAC 25,0.0,0.0,Jared Goff pass incomplete short right intended for Kalif Raymond,2.47,1.82,10.0,2023,145
1.0,10:47,3.0,23.0,LAC 25,0.0,0.0,Jahmyr Gibbs right tackle for 11 yards (tackle by Deane Leonard),1.82,2.51,10.0,2023,145
1.0,10:13,4.0,12.0,LAC 14,3.0,0.0,Riley Patterson 33 yard field goal good,2.51,3.0,10.0,2023,145
1.0,10:09,,,DET 35,3.0,0.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,145
1.0,10:09,1.0,10.0,LAC 25,3.0,0.0,Joshua Kelley right guard for 3 yards (tackle by Alex Anzalone),0.61,0.47,10.0,2023,145
1.0,9:35,2.0,7.0,LAC 28,3.0,0.0,Justin Herbert pass complete short right to Keenan Allen for 10 yards (tackle by Tracy Walker),0.47,1.47,10.0,2023,145
1.0,9:03,1.0,10.0,LAC 38,3.0,0.0,Justin Herbert pass incomplete short left intended for Keenan Allen,1.47,0.92,10.0,2023,145
1.0,8:59,2.0,10.0,LAC 38,3.0,0.0,Justin Herbert pass complete short left to Austin Ekeler for 24 yards (tackle by Alex Anzalone),0.92,3.05,10.0,2023,145
1.0,8:14,1.0,10.0,DET 38,3.0,0.0,Justin Herbert pass complete short right to Keenan Allen for 6 yards (tackle by Cameron Sutton),3.05,3.32,10.0,2023,145
1.0,7:41,2.0,4.0,DET 32,3.0,0.0,Joshua Kelley up the middle for 2 yards (tackle by Alex Anzalone and Benito Jones),3.32,2.87,10.0,2023,145
1.0,7:03,3.0,2.0,DET 30,3.0,0.0,Justin Herbert pass incomplete short right intended for Austin Ekeler,2.87,1.5,10.0,2023,145
1.0,6:58,4.0,2.0,DET 30,3.0,3.0,Cameron Dicker 48 yard field goal good,1.5,3.0,10.0,2023,145
1.0,6:54,,,LAC 35,3.0,3.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,145
1.0,6:54,1.0,10.0,DET 25,3.0,3.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 7 yards (tackle by Eric Kendricks),0.61,1.01,10.0,2023,145
1.0,6:19,2.0,3.0,DET 32,3.0,3.0,"Jared Goff pass incomplete intended for Amon-Ra St. Brown. Penalty on Asante Samuel: Defensive Pass Interference, 16 yards (accepted) (no play)",1.01,2.13,10.0,2023,145
1.0,6:14,1.0,10.0,DET 48,3.0,3.0,Jahmyr Gibbs left tackle for 5 yards (tackle by Otito Ogbonnia and Derwin James),2.13,2.26,10.0,2023,145
1.0,5:34,2.0,5.0,LAC 47,3.0,3.0,Jahmyr Gibbs right end for 11 yards (tackle by Derwin James),2.26,3.18,10.0,2023,145
1.0,4:55,1.0,10.0,LAC 36,3.0,3.0,Jahmyr Gibbs right end for 35 yards (tackle by Alohi Gilman),3.18,6.97,10.0,2023,145
1.0,4:22,1.0,1.0,LAC 1,9.0,3.0,"Jahmyr Gibbs left end for 1 yard, touchdown",6.97,7.0,10.0,2023,145
1.0,4:18,,,LAC 15,10.0,3.0,Riley Patterson kicks extra point good,0.0,0.0,10.0,2023,145
1.0,4:18,,,DET 35,10.0,3.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,145
1.0,4:18,1.0,10.0,LAC 25,10.0,3.0,Austin Ekeler up the middle for 2 yards (tackle by Aidan Hutchinson),0.61,0.33,10.0,2023,145
1.0,3:51,2.0,8.0,LAC 27,10.0,3.0,Justin Herbert pass short right intended for Gerald Everett is intercepted by Kerby Joseph at LAC-33 and returned for no gain,0.33,-3.38,10.0,2023,145
1.0,3:45,1.0,10.0,LAC 33,10.0,3.0,Jared Goff pass incomplete deep left intended for Amon-Ra St. Brown (defended by Deane Leonard),3.38,2.84,10.0,2023,145
1.0,3:40,2.0,10.0,LAC 33,10.0,3.0,Jared Goff pass incomplete short left intended for Josh Reynolds,2.84,2.15,10.0,2023,145
1.0,3:37,3.0,10.0,LAC 33,10.0,3.0,Jared Goff pass complete short right to Kalif Raymond for 5 yards (tackle by Ja'Sir Taylor),2.15,1.63,10.0,2023,145
1.0,2:57,,,,,,Timeout #1 by Detroit Lions,,,10.0,2023,145
1.0,2:57,4.0,5.0,LAC 28,10.0,3.0,David Montgomery right guard for 6 yards (tackle by Dean Marlowe and Tuli Tuipulotu),1.63,4.11,10.0,2023,145
1.0,2:13,1.0,10.0,LAC 22,10.0,3.0,Jared Goff pass complete short right to Brock Wright for -2 yards (tackle by Derwin James),4.11,3.29,10.0,2023,145
1.0,1:36,2.0,12.0,LAC 24,10.0,3.0,David Montgomery right end for 6 yards (tackle by Kenneth Murray),3.29,3.4,10.0,2023,145
1.0,0:52,3.0,6.0,LAC 18,10.0,3.0,David Montgomery right guard for 5 yards (tackle by Khalil Mack and Deane Leonard),3.4,2.72,10.0,2023,145
1.0,0:13,4.0,1.0,LAC 13,10.0,3.0,Amon-Ra St. Brown left end for 3 yards (tackle by Alohi Gilman),2.72,4.91,10.0,2023,145
2.0,15:00,1.0,10.0,LAC 10,10.0,3.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 9 yards (tackle by Asante Samuel),4.91,5.91,10.0,2023,145
2.0,14:26,2.0,1.0,LAC 1,10.0,3.0,David Montgomery right tackle for no gain (tackle by Khalil Mack and Derwin James),5.91,5.17,10.0,2023,145
2.0,13:52,3.0,1.0,LAC 1,10.0,3.0,David Montgomery right end for no gain (tackle by Nick Williams),5.17,3.55,10.0,2023,145
2.0,13:13,4.0,1.0,LAC 1,10.0,3.0,Jared Goff pass incomplete short right,3.55,0.38,10.0,2023,145
2.0,13:09,1.0,10.0,LAC 2,10.0,3.0,Justin Herbert pass incomplete short right intended for Keenan Allen,-0.38,-0.78,10.0,2023,145
2.0,13:03,2.0,10.0,LAC 2,10.0,3.0,Justin Herbert pass complete short right to Keenan Allen for 9 yards (tackle by Cameron Sutton),-0.78,-0.37,10.0,2023,145
2.0,12:31,3.0,1.0,LAC 11,10.0,3.0,Justin Herbert pass incomplete short right intended for Austin Ekeler,-0.37,-2.49,10.0,2023,145
2.0,12:24,4.0,1.0,LAC 11,10.0,3.0,"JK Scott punts 49 yards, fair catch by Kalif Raymond at DET-40",-2.49,-1.6,10.0,2023,145
2.0,12:17,1.0,10.0,DET 40,10.0,3.0,Jahmyr Gibbs left tackle for 3 yards (tackle by Deane Leonard and Derwin James),1.6,1.46,10.0,2023,145
2.0,11:40,2.0,7.0,DET 43,10.0,3.0,Jared Goff pass complete short left to Jahmyr Gibbs for 24 yards (tackle by Eric Kendricks),1.46,3.38,10.0,2023,145
2.0,10:57,1.0,10.0,LAC 33,10.0,3.0,Jared Goff pass complete short left to Jameson Williams for 13 yards (tackle by Derwin James),3.38,4.24,10.0,2023,145
2.0,10:15,1.0,10.0,LAC 20,10.0,3.0,Jahmyr Gibbs right end for -1 yards (tackle by Joey Bosa),4.24,3.56,10.0,2023,145
2.0,9:40,2.0,11.0,LAC 21,10.0,3.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 14 yards (tackle by Alohi Gilman),3.56,5.6,10.0,2023,145
2.0,9:00,1.0,7.0,LAC 7,10.0,3.0,Jahmyr Gibbs left tackle for 2 yards (tackle by Kenneth Murray),5.6,5.15,10.0,2023,145
2.0,8:25,2.0,5.0,LAC 5,10.0,3.0,Jahmyr Gibbs right end for 4 yards (tackle by Eric Kendricks and Alohi Gilman),5.15,5.17,10.0,2023,145
2.0,7:37,3.0,1.0,LAC 1,10.0,3.0,Jared Goff pass incomplete short right intended for Jahmyr Gibbs,5.17,3.55,10.0,2023,145
2.0,7:34,4.0,1.0,LAC 1,16.0,3.0,"Jahmyr Gibbs right tackle for 1 yard, touchdown",3.55,7.0,10.0,2023,145
2.0,7:30,,,LAC 15,17.0,3.0,Riley Patterson kicks extra point good,0.0,0.0,10.0,2023,145
2.0,7:30,,,DET 35,17.0,3.0,"Jack Fox kicks off 63 yards,",0.0,0.61,10.0,2023,145
2.0,7:30,1.0,10.0,LAC 25,17.0,3.0,Austin Ekeler left guard for 2 yards (tackle by Alim McNeill and Alex Anzalone),0.61,0.27,10.0,2023,145
2.0,6:51,2.0,9.0,LAC 27,17.0,3.0,Austin Ekeler up the middle for 4 yards (tackle by Alim McNeill),0.27,0.17,10.0,2023,145
2.0,6:19,3.0,4.0,LAC 31,17.0,3.0,Justin Herbert pass complete short right to Austin Ekeler for 15 yards (tackle by Kerby Joseph),0.17,1.99,10.0,2023,145
2.0,5:42,1.0,10.0,LAC 46,17.0,3.0,Austin Ekeler up the middle for 3 yards (tackle by Derrick Barnes),1.99,1.86,10.0,2023,145
2.0,5:04,2.0,7.0,LAC 49,17.0,3.0,Justin Herbert pass incomplete deep right intended for Jalen Guyton (defended by Jerry Jacobs),1.86,1.16,10.0,2023,145
2.0,4:56,3.0,7.0,LAC 49,17.0,3.0,Justin Herbert pass complete short middle to Keenan Allen for 11 yards (tackle by Cameron Sutton),1.16,2.92,10.0,2023,145
2.0,4:28,1.0,10.0,DET 40,17.0,3.0,Justin Herbert pass incomplete deep left intended for Gerald Everett,2.92,2.37,10.0,2023,145
2.0,4:23,2.0,10.0,DET 40,17.0,3.0,Justin Herbert pass complete short right to Derius Davis for 9 yards (tackle by Alex Anzalone),2.37,2.87,10.0,2023,145
2.0,4:02,3.0,1.0,DET 31,17.0,3.0,Justin Herbert up the middle for 2 yards (tackle by Jack Campbell and Benito Jones),2.87,3.64,10.0,2023,145
2.0,3:27,1.0,10.0,DET 29,17.0,9.0,"Justin Herbert pass complete deep right to Keenan Allen for 29 yards, touchdown",3.64,7.0,10.0,2023,145
2.0,3:21,,,DET 15,17.0,10.0,Cameron Dicker kicks extra point good,0.0,0.0,10.0,2023,145
2.0,3:21,,,LAC 35,17.0,10.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,145
2.0,3:21,1.0,10.0,DET 25,23.0,10.0,"David Montgomery left guard for 75 yards, touchdown Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",0.61,7.0,10.0,2023,145
2.0,3:07,,,LAC 15,24.0,10.0,Riley Patterson kicks extra point good,0.0,0.0,10.0,2023,145
2.0,3:07,,,DET 35,24.0,10.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,145
2.0,3:07,1.0,10.0,LAC 25,24.0,10.0,Austin Ekeler left end for 9 yards (tackle by Brian Branch),0.61,1.28,10.0,2023,145
2.0,2:41,2.0,1.0,LAC 34,24.0,10.0,Justin Herbert pass complete short left to Keenan Allen for 7 yards (tackle by Kerby Joseph),1.28,1.66,10.0,2023,145
2.0,2:17,1.0,10.0,LAC 41,24.0,10.0,Justin Herbert pass complete short middle to Keenan Allen for 13 yards (tackle by Kerby Joseph),1.66,2.52,10.0,2023,145
2.0,2:00,1.0,10.0,DET 46,24.0,10.0,Justin Herbert pass complete short right to Quentin Johnston for 7 yards (tackle by Cameron Sutton),2.52,2.92,10.0,2023,145
2.0,1:38,2.0,3.0,DET 39,24.0,10.0,Justin Herbert pass incomplete short right intended for Austin Ekeler,2.92,2.21,10.0,2023,145
2.0,1:34,3.0,3.0,DET 39,24.0,10.0,Justin Herbert pass complete deep left to Keenan Allen for 28 yards (tackle by Kerby Joseph),2.21,4.84,10.0,2023,145
2.0,1:05,1.0,10.0,DET 11,24.0,10.0,Justin Herbert pass complete short middle to Jalen Guyton for 8 yards (tackle by Brian Branch and Derrick Barnes),4.84,5.66,10.0,2023,145
2.0,0:45,2.0,2.0,DET 3,24.0,10.0,Austin Ekeler up the middle for 1 yard (tackle by Tracy Walker),5.66,5.12,10.0,2023,145
2.0,0:33,,,,,,Timeout #1 by Los Angeles Chargers,,,10.0,2023,145
2.0,0:33,3.0,1.0,DET 2,24.0,10.0,Justin Herbert pass incomplete short middle intended for Stone Smartt,5.12,3.25,10.0,2023,145
2.0,0:29,4.0,1.0,DET 2,24.0,16.0,"Austin Ekeler up the middle for 2 yards, touchdown",3.25,7.0,10.0,2023,145
2.0,0:23,,,DET 15,24.0,17.0,Cameron Dicker kicks extra point good,0.0,0.0,10.0,2023,145
2.0,0:23,,,LAC 35,24.0,17.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,145
