Quarter,Time,Down,ToGo,Location,NYG,DAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,10.0,2023,147
1.0,15:00,,,NYG 35,0.0,0.0,"Randy Bullock kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,147
1.0,15:00,1.0,10.0,DAL 25,0.0,0.0,"Dak Prescott pass complete short left to Brandin Cooks for 4 yards (tackle by Deonte Banks) NYG challenged the fumble ruling, and the play was upheld.",0.61,0.6,10.0,2023,147
1.0,14:17,2.0,6.0,DAL 29,0.0,0.0,Dak Prescott pass complete short left to CeeDee Lamb for 12 yards (tackle by Deonte Banks),0.6,1.66,10.0,2023,147
1.0,13:46,1.0,10.0,DAL 41,0.0,0.0,Tony Pollard left guard for 1 yard (tackle by Bobby Okereke and Xavier McKinney),1.66,1.26,10.0,2023,147
1.0,13:02,2.0,9.0,DAL 42,0.0,0.0,"Dak Prescott pass complete deep left to CeeDee Lamb for 30 yards (tackle by Jason Pinnock). Penalty on Deonte Banks: Defensive Pass Interference, 15 yards (declined)",1.26,3.71,10.0,2023,147
1.0,12:52,1.0,10.0,NYG 28,0.0,0.0,Rico Dowdle right tackle for 3 yards (tackle by A'Shawn Robinson and Bobby Okereke),3.71,3.57,10.0,2023,147
1.0,12:20,2.0,7.0,NYG 25,0.0,0.0,Rico Dowdle left end for 21 yards (tackle by Xavier McKinney),3.57,6.28,10.0,2023,147
1.0,11:38,1.0,4.0,NYG 4,0.0,0.0,Tony Pollard left tackle for 2 yards (tackle by Bobby Okereke and Dexter Lawrence),6.28,5.72,10.0,2023,147
1.0,11:02,2.0,2.0,NYG 2,0.0,0.0,Dak Prescott pass complete short right to CeeDee Lamb for no gain (tackle by Jason Pinnock),5.72,4.95,10.0,2023,147
1.0,10:25,3.0,2.0,NYG 2,0.0,0.0,Dak Prescott pass incomplete short right intended for Jake Ferguson,4.95,3.25,10.0,2023,147
1.0,10:20,4.0,2.0,NYG 2,0.0,0.0,Tony Pollard up the middle for 1 yard (tackle by Azeez Ojulari and Dexter Lawrence),3.25,0.38,10.0,2023,147
1.0,10:16,1.0,10.0,NYG 1,0.0,0.0,Saquon Barkley up the middle for no gain (tackle by Chauncey Golston and Donovan Wilson),-0.38,-0.78,10.0,2023,147
1.0,9:38,2.0,10.0,NYG 1,0.0,0.0,Saquon Barkley left tackle for no gain (tackle by Rashaan Evans and DaRon Bland),-0.78,-1.42,10.0,2023,147
1.0,8:56,3.0,10.0,NYG 1,0.0,0.0,Tommy DeVito pass complete short left to Darius Slayton for 4 yards (tackle by DaRon Bland),-1.42,-2.49,10.0,2023,147
1.0,8:17,4.0,6.0,NYG 5,0.0,0.0,Jamie Gillan punts 49 yards downed by Isaiah Simmons,-2.49,-1.99,10.0,2023,147
1.0,8:04,1.0,10.0,DAL 46,0.0,0.0,Dak Prescott pass incomplete short left intended for Luke Schoonmaker,1.99,1.45,10.0,2023,147
1.0,7:59,2.0,10.0,DAL 46,0.0,0.0,Tony Pollard left end for 3 yards (tackle by Micah McFadden),1.45,1.16,10.0,2023,147
1.0,7:21,3.0,7.0,DAL 49,0.0,0.0,Dak Prescott pass incomplete short right intended for Jake Ferguson,1.16,-0.13,10.0,2023,147
