Quarter,Time,Tm,Detail,DET,LAC,week,year,game_id
1.0,10:09,Lions,Riley Patterson 33 yard field goal,3,0,10.0,2023,145
,6:54,Chargers,Cameron Dicker 48 yard field goal,3,3,10.0,2023,145
,4:18,Lions,Jahmyr Gibbs 1 yard rush (Riley Patterson kick),10,3,10.0,2023,145
2.0,7:30,Lions,Jahmyr Gibbs 1 yard rush (Riley Patterson kick),17,3,10.0,2023,145
,3:21,Chargers,Keenan Allen 29 yard pass from Justin Herbert (Cameron Dicker kick),17,10,10.0,2023,145
,3:07,Lions,David Montgomery 75 yard rush (Riley Patterson kick),24,10,10.0,2023,145
,0:23,Chargers,Austin Ekeler 2 yard rush (Cameron Dicker kick),24,17,10.0,2023,145
3.0,7:59,Chargers,Jalen Guyton 18 yard pass from Justin Herbert (Cameron Dicker kick),24,24,10.0,2023,145
,4:31,Lions,Amon-Ra St. Brown 20 yard pass from Jared Goff (Riley Patterson kick),31,24,10.0,2023,145
4.0,11:30,Chargers,Quentin Johnston 1 yard pass from Justin Herbert (Cameron Dicker kick),31,31,10.0,2023,145
,7:30,Lions,Brock Wright 25 yard pass from Jared Goff (Riley Patterson kick),38,31,10.0,2023,145
,3:34,Chargers,Keenan Allen 38 yard pass from Justin Herbert (Cameron Dicker kick),38,38,10.0,2023,145
,0:00,Lions,Riley Patterson 41 yard field goal,41,38,10.0,2023,145
