Unnamed: 0,WAS,SEA,week,year,game_id
First Downs,16,27,10.0,2023,148
Rush-Yds-TDs,14-68-0,26-120-0,10.0,2023,148
Cmp-Att-Yd-TD-INT,29-44-312-3-0,31-47-369-2-0,10.0,2023,148
Sacked-Yards,3-24,1-0,10.0,2023,148
Net Pass Yards,288,369,10.0,2023,148
Total Yards,356,489,10.0,2023,148
Fumbles-Lost,1-1,0-0,10.0,2023,148
Turnovers,1,0,10.0,2023,148
Penalties-Yards,6-39,8-50,10.0,2023,148
Third Down Conv.,7-15,4-14,10.0,2023,148
Fourth Down Conv.,1-1,1-1,10.0,2023,148
Time of Possession,29:33,30:27,10.0,2023,148
