Quarter,Time,Down,ToGo,Location,DEN,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss, Bills to receive the opening kickoff.",,,10.0,2023,150
1.0,15:00,,,DEN 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,150
1.0,15:00,1.0,10.0,BUF 25,0.0,0.0,"Josh Allen pass complete short left to James Cook for 3 yards. James Cook fumbles (forced by Ja'Quan McMillian), recovered by Ja'Quan McMillian at BUF-28",0.61,-3.71,10.0,2023,150
1.0,14:52,1.0,10.0,BUF 28,0.0,0.0,Javonte Williams left guard for 3 yards (tackle by Taron Johnson),3.71,3.57,10.0,2023,150
1.0,14:17,2.0,7.0,BUF 25,0.0,0.0,Javonte Williams right guard for no gain (tackle by Terrel Bernard),3.57,2.94,10.0,2023,150
1.0,13:42,3.0,6.0,BUF 25,0.0,0.0,"Penalty on Mike McGlinchey: False Start, 5 yards (accepted) (no play)",2.94,2.28,10.0,2023,150
1.0,13:25,3.0,11.0,BUF 30,0.0,0.0,Samaje Perine left guard for 8 yards (tackle by Terrel Bernard),2.28,2.09,10.0,2023,150
1.0,12:42,4.0,3.0,BUF 22,3.0,0.0,Wil Lutz 40 yard field goal good,2.09,3.0,10.0,2023,150
1.0,12:39,,,DEN 35,3.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,150
1.0,12:39,1.0,10.0,BUF 25,3.0,0.0,"Josh Allen pass incomplete short right intended for Dalton Kincaid (defended by Alex Singleton). Penalty on O'Cyrus Torrence: Offensive Holding, 10 yards (accepted) (no play)",0.61,-0.41,10.0,2023,150
1.0,12:32,1.0,20.0,BUF 15,3.0,0.0,Josh Allen pass incomplete deep left intended for Gabriel Davis,-0.41,-1.43,10.0,2023,150
1.0,12:27,2.0,20.0,BUF 15,3.0,0.0,Josh Allen pass complete short right to Dalton Kincaid for 4 yards (tackle by Ja'Quan McMillian),-1.43,-1.51,10.0,2023,150
1.0,11:55,3.0,16.0,BUF 19,3.0,0.0,Josh Allen pass complete deep left to Gabriel Davis for 18 yards (tackle by Alex Singleton and Damarri Mathis),-1.51,1.4,10.0,2023,150
1.0,11:23,1.0,10.0,BUF 37,3.0,0.0,Latavius Murray up the middle for 8 yards (tackle by P.J. Locke),1.4,1.94,10.0,2023,150
1.0,10:49,2.0,2.0,BUF 45,3.0,0.0,Latavius Murray left guard for 21 yards (tackle by P.J. Locke and Fabian Moreau),1.94,3.31,10.0,2023,150
1.0,10:07,1.0,10.0,DEN 34,3.0,0.0,Ty Johnson left tackle for 2 yards (tackle by D.J. Jones),3.31,3.04,10.0,2023,150
1.0,9:25,2.0,8.0,DEN 32,3.0,0.0,"Penalty on Spencer Brown: False Start, 5 yards (accepted) (no play)",3.04,2.37,10.0,2023,150
1.0,9:09,2.0,13.0,DEN 37,3.0,0.0,Josh Allen pass complete short left to Dalton Kincaid for 9 yards (tackle by Fabian Moreau),2.37,2.87,10.0,2023,150
1.0,8:30,3.0,4.0,DEN 28,3.0,0.0,Josh Allen pass deep middle intended for Gabriel Davis is intercepted by Justin Simmons at DEN-12 and returned for no gain (tackle by Gabriel Davis),2.87,0.35,10.0,2023,150
1.0,8:22,1.0,10.0,DEN 12,3.0,0.0,Russell Wilson pass complete short right to Lil'Jordan Humphrey for 14 yards (tackle by Jordan Poyer),-0.35,0.67,10.0,2023,150
1.0,7:49,1.0,10.0,DEN 26,3.0,0.0,Jaleel McLaughlin left tackle for 1 yard (tackle by Terrel Bernard),0.67,0.27,10.0,2023,150
1.0,7:13,2.0,9.0,DEN 27,3.0,0.0,Javonte Williams right guard for 5 yards (tackle by Terrel Bernard and Linval Joseph),0.27,0.23,10.0,2023,150
1.0,6:43,3.0,4.0,DEN 32,3.0,0.0,Russell Wilson pass complete short right to Javonte Williams for 18 yards (tackle by Dane Jackson),0.23,2.19,10.0,2023,150
1.0,5:59,1.0,10.0,DEN 49,3.0,0.0,"Penalty on Michael Burton: False Start, 5 yards (accepted) (no play)",2.19,1.86,10.0,2023,150
1.0,5:51,1.0,15.0,DEN 44,3.0,0.0,Marvin Mims right end for -3 yards (tackle by Leonard Floyd),1.86,0.7,10.0,2023,150
1.0,5:05,2.0,17.0,DEN 42,3.0,0.0,Russell Wilson sacked by Terrel Bernard for no gain,0.7,0.04,10.0,2023,150
1.0,4:40,3.0,17.0,DEN 42,3.0,0.0,Russell Wilson pass incomplete short right intended for Lucas Krull,0.04,-0.59,10.0,2023,150
1.0,4:33,4.0,17.0,DEN 42,3.0,0.0,"Riley Dixon punts 58 yards, touchback.",-0.59,-0.28,10.0,2023,150
1.0,4:24,1.0,10.0,BUF 20,3.0,0.0,Josh Allen pass complete short right to Stefon Diggs for 9 yards (tackle by Fabian Moreau),0.28,0.95,10.0,2023,150
1.0,3:55,2.0,1.0,BUF 29,3.0,0.0,Latavius Murray up the middle for 3 yards (tackle by Jonathon Cooper),0.95,1.07,10.0,2023,150
1.0,3:23,1.0,10.0,BUF 32,3.0,0.0,Josh Allen right tackle for 1 yard (tackle by Baron Browning and Alex Singleton),1.07,0.66,10.0,2023,150
1.0,2:46,2.0,9.0,BUF 33,3.0,0.0,Josh Allen pass incomplete short left intended for Latavius Murray,0.66,-0.03,10.0,2023,150
1.0,2:43,3.0,9.0,BUF 33,3.0,0.0,Josh Allen pass incomplete short left intended for Stefon Diggs,-0.03,-1.18,10.0,2023,150
1.0,2:37,4.0,9.0,BUF 33,3.0,0.0,"Sam Martin punts 46 yards, fair catch by Marvin Mims at DEN-21",-1.18,-0.34,10.0,2023,150
1.0,2:30,1.0,10.0,DEN 21,3.0,0.0,Javonte Williams up the middle for 9 yards (tackle by Taylor Rapp and Taron Johnson),0.34,1.02,10.0,2023,150
1.0,1:56,2.0,1.0,DEN 30,3.0,0.0,Javonte Williams up the middle for 2 yards (tackle by Taron Johnson and Shaq Lawson),1.02,1.07,10.0,2023,150
1.0,1:17,1.0,10.0,DEN 32,3.0,0.0,Russell Wilson pass complete short right to Chris Manhertz for 6 yards (tackle by Tyrel Dodson),1.07,1.34,10.0,2023,150
1.0,0:32,2.0,4.0,DEN 38,3.0,0.0,Jaleel McLaughlin right end for no gain (tackle by Leonard Floyd and Terrel Bernard),1.34,0.63,10.0,2023,150
