Quarter,Time,Tm,Detail,DEN,BUF,week,year,game_id
1.0,12:39,Broncos,Wil Lutz 40 yard field goal,3,0,10.0,2023,150
2.0,7:17,Broncos,Courtland Sutton 7 yard pass from Russell Wilson (Wil Lutz kick failed),9,0,10.0,2023,150
,3:36,Bills,Dalton Kincaid 22 yard pass from Josh Allen (Gabriel Davis pass from Josh Allen),9,8,10.0,2023,150
,0:45,Broncos,Wil Lutz 49 yard field goal,12,8,10.0,2023,150
,0:00,Broncos,Wil Lutz 40 yard field goal,15,8,10.0,2023,150
3.0,6:42,Bills,Latavius Murray 3 yard rush (Tyler Bass kick),15,15,10.0,2023,150
4.0,5:06,Broncos,Javonte Williams 3 yard pass from Russell Wilson (run failed),21,15,10.0,2023,150
,1:55,Bills,Josh Allen 6 yard rush (Tyler Bass kick),21,22,10.0,2023,150
,0:00,Broncos,Wil Lutz 36 yard field goal,24,22,10.0,2023,150
