Quarter,Time,Down,ToGo,Location,HOU,CIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Texans won the coin toss and deferred, Bengals to receive the opening kickoff.",,,10.0,2023,139
1.0,15:00,,,HOU 35,0.0,0.0,"Matt Ammendola kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,139
1.0,15:00,1.0,10.0,CIN 25,0.0,0.0,"Joe Burrow pass incomplete deep right intended for Tyler Boyd. Penalty on Will Anderson: Roughing the Passer, 15 yards (accepted) (no play)",0.61,1.6,10.0,2023,139
1.0,14:56,1.0,10.0,CIN 40,0.0,0.0,Joe Mixon right guard for 2 yards (tackle by Jonathan Greenard),1.6,1.32,10.0,2023,139
1.0,14:24,2.0,8.0,CIN 42,0.0,0.0,Joe Burrow pass incomplete short left intended for Mitchell Wilcox,1.32,0.63,10.0,2023,139
1.0,14:17,3.0,8.0,CIN 42,0.0,0.0,Joe Burrow pass complete short left to Tanner Hudson for 13 yards (tackle by Denzel Perryman),0.63,2.59,10.0,2023,139
1.0,13:35,1.0,10.0,HOU 45,0.0,0.0,Joe Burrow pass complete short middle to Tanner Hudson for 8 yards (tackle by DeAndre Houston-Carson),2.59,3.12,10.0,2023,139
1.0,13:02,2.0,2.0,HOU 37,0.0,0.0,Joe Burrow pass complete short left to Tanner Hudson for 1 yard (tackle by DeAndre Houston-Carson),3.12,2.54,10.0,2023,139
1.0,12:24,3.0,1.0,HOU 36,0.0,0.0,Joe Mixon right end for -2 yards (tackle by Denzel Perryman),2.54,0.72,10.0,2023,139
1.0,11:39,4.0,3.0,HOU 38,0.0,0.0,Joe Burrow pass complete short left to Tanner Hudson for 3 yards (tackle by Shaquill Griffin and Tavierre Thomas),0.72,3.25,10.0,2023,139
1.0,11:14,1.0,10.0,HOU 35,0.0,0.0,Joe Burrow pass complete short right to Tanner Hudson for 3 yards (tackle by Christian Harris),3.25,3.11,10.0,2023,139
1.0,10:33,2.0,7.0,HOU 32,0.0,0.0,Joe Burrow pass complete short middle to Joe Mixon for no gain (tackle by Christian Harris and Maliek Collins),3.11,2.41,10.0,2023,139
1.0,9:48,3.0,7.0,HOU 32,0.0,6.0,"Joe Burrow pass complete deep right to Trenton Irwin for 32 yards, touchdown",2.41,7.0,10.0,2023,139
1.0,9:43,,,HOU 15,0.0,7.0,Evan McPherson kicks extra point good,0.0,0.0,10.0,2023,139
1.0,9:43,,,CIN 35,0.0,7.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,139
1.0,9:43,1.0,10.0,HOU 25,0.0,7.0,C.J. Stroud pass complete short right to Tank Dell for 7 yards,0.61,1.01,10.0,2023,139
1.0,9:19,2.0,3.0,HOU 32,0.0,7.0,Devin Singletary right end for 12 yards (tackle by Nick Scott),1.01,1.86,10.0,2023,139
1.0,8:45,1.0,10.0,HOU 44,0.0,7.0,Devin Singletary left tackle for 1 yard (tackle by D.J. Reader),1.86,1.45,10.0,2023,139
1.0,8:08,2.0,9.0,HOU 45,0.0,7.0,C.J. Stroud pass incomplete short left intended for Xavier Hutchinson (defended by Cam Taylor-Britt),1.45,0.76,10.0,2023,139
1.0,8:06,3.0,9.0,HOU 45,0.0,7.0,C.J. Stroud pass incomplete short middle intended for Dalton Schultz (defended by Logan Wilson),0.76,-0.39,10.0,2023,139
1.0,8:03,4.0,9.0,HOU 45,0.0,7.0,"Cameron Johnston punts 43 yards, fair catch by Trenton Irwin at CIN-12",-0.39,0.35,10.0,2023,139
1.0,7:56,1.0,10.0,CIN 12,0.0,7.0,Joe Mixon up the middle for 3 yards (tackle by Sheldon Rankins),-0.35,-0.5,10.0,2023,139
1.0,7:16,2.0,7.0,CIN 15,0.0,7.0,Joe Burrow pass complete short left to Irv Smith for 6 yards (tackle by Shaquill Griffin),-0.5,-0.37,10.0,2023,139
1.0,6:34,3.0,1.0,CIN 21,0.0,7.0,Joe Burrow pass complete short right to Tyler Boyd for 4 yards (tackle by Tavierre Thomas),-0.37,0.61,10.0,2023,139
1.0,5:57,1.0,10.0,CIN 25,0.0,7.0,Joe Mixon left guard for 10 yards (tackle by DeAndre Houston-Carson),0.61,1.27,10.0,2023,139
1.0,5:18,1.0,10.0,CIN 35,0.0,7.0,Joe Burrow pass incomplete short middle intended for Tyler Boyd,1.27,0.72,10.0,2023,139
1.0,5:12,2.0,10.0,CIN 35,0.0,7.0,Joe Burrow pass complete short left to Trayveon Williams for 2 yards (tackle by Christian Harris and Shaquill Griffin),0.72,0.3,10.0,2023,139
1.0,4:30,3.0,8.0,CIN 37,0.0,7.0,Joe Burrow scrambles up the middle for 1 yard (tackle by Blake Cashman),0.3,-0.85,10.0,2023,139
1.0,3:54,4.0,7.0,CIN 38,0.0,7.0,"Brad Robbins punts 55 yards, returned by Tank Dell for 11 yards (tackle by Chris Evans)",-0.85,-0.04,10.0,2023,139
1.0,3:42,1.0,10.0,HOU 18,0.0,7.0,C.J. Stroud pass complete deep middle to Dalton Schultz for 23 yards (tackle by Cam Taylor-Britt),0.04,1.66,10.0,2023,139
1.0,3:04,1.0,10.0,HOU 41,0.0,7.0,Devin Singletary left guard for 6 yards (tackle by DJ Turner),1.66,1.93,10.0,2023,139
1.0,2:41,2.0,4.0,HOU 47,0.0,7.0,Devin Singletary up the middle for 3 yards (tackle by Mike Hilton),1.93,1.62,10.0,2023,139
1.0,2:12,3.0,1.0,HOU 50,0.0,7.0,"Penalty on Dalton Schultz: False Start, 5 yards (accepted) (no play)",1.62,0.96,10.0,2023,139
1.0,1:50,3.0,6.0,HOU 45,0.0,7.0,C.J. Stroud pass complete short middle to Robert Woods for 15 yards (tackle by Chidobe Awuzie),0.96,2.92,10.0,2023,139
1.0,1:12,1.0,10.0,CIN 40,0.0,7.0,Devin Singletary left tackle for 22 yards (tackle by Mike Hilton and Daxton Hill),2.92,4.37,10.0,2023,139
1.0,0:36,1.0,10.0,CIN 18,0.0,7.0,C.J. Stroud pass incomplete short middle intended for Robert Woods,4.37,3.8,10.0,2023,139
1.0,0:32,2.0,10.0,CIN 18,0.0,7.0,C.J. Stroud pass incomplete short middle intended for Tank Dell (defended by Daxton Hill),3.8,3.05,10.0,2023,139
1.0,0:26,3.0,10.0,CIN 18,0.0,7.0,"C.J. Stroud pass complete short right to Tank Dell for 9 yards CIN challenged the runner was in bounds ruling, and the play was upheld.",3.05,2.98,10.0,2023,139
1.0,0:03,4.0,1.0,CIN 9,0.0,7.0,"C.J. Stroud aborted snap, recovered by D.J. Reader at CIN-11",2.98,0.37,10.0,2023,139
2.0,15:00,1.0,10.0,CIN 11,0.0,7.0,Joe Burrow pass incomplete short left intended for Joe Mixon,-0.37,-0.78,10.0,2023,139
2.0,14:57,2.0,10.0,CIN 11,0.0,7.0,Joe Burrow pass complete short right to Joe Mixon for -1 yards (tackle by Denzel Perryman and Tavierre Thomas),-0.78,-1.54,10.0,2023,139
2.0,14:20,3.0,11.0,CIN 10,0.0,7.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 8 yards (tackle by Tavierre Thomas and Blake Cashman),-1.54,-2.24,10.0,2023,139
2.0,13:44,4.0,3.0,CIN 18,0.0,7.0,"Brad Robbins punts 48 yards, fair catch by Tank Dell at HOU-34",-2.24,-1.2,10.0,2023,139
2.0,13:36,1.0,10.0,HOU 34,0.0,7.0,Devin Singletary left tackle for 7 yards (tackle by Cameron Sample),1.2,1.6,10.0,2023,139
