Unnamed: 0,NYG,DAL,week,year,game_id
First Downs,16,32,10.0,2023,147
Rush-Yds-TDs,23-111-0,33-168-3,10.0,2023,147
Cmp-Att-Yd-TD-INT,14-27-86-2-1,33-44-472-4-2,10.0,2023,147
Sacked-Yards,5-25,0-0,10.0,2023,147
Net Pass Yards,61,472,10.0,2023,147
Total Yards,172,640,10.0,2023,147
Fumbles-Lost,0-0,0-0,10.0,2023,147
Turnovers,1,2,10.0,2023,147
Penalties-Yards,2-5,9-83,10.0,2023,147
Third Down Conv.,0-12,6-12,10.0,2023,147
Fourth Down Conv.,2-3,1-2,10.0,2023,147
Time of Possession,22:39,37:21,10.0,2023,147
