Quarter,Time,Down,ToGo,Location,SFO,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"49ers won the coin toss and deferred, Jaguars to receive the opening kickoff.",,,10.0,2023,142
1.0,15:00,,,SFO 35,0.0,0.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,142
1.0,15:00,1.0,10.0,JAX 25,0.0,0.0,Trevor Lawrence pass incomplete short right,0.61,0.06,10.0,2023,142
1.0,14:55,2.0,10.0,JAX 25,0.0,0.0,Trevor Lawrence pass complete short left to Tim Jones for 5 yards (tackle by Fred Warner),0.06,0.04,10.0,2023,142
1.0,14:15,3.0,5.0,JAX 30,0.0,0.0,Trevor Lawrence sacked by and Arik Armstead for -6 yards and Javon Hargrave for -6 yards,0.04,-1.77,10.0,2023,142
1.0,13:44,4.0,11.0,JAX 24,0.0,0.0,"Logan Cooke punts 41 yards, returned by Ray-Ray McCloud for 8 yards (tackle by Ross Matiscik)",-1.77,-1.8,10.0,2023,142
1.0,13:39,1.0,10.0,SFO 43,0.0,0.0,Christian McCaffrey up the middle for 6 yards (tackle by Foyesade Oluokun and Rayshawn Jenkins),1.8,2.06,10.0,2023,142
1.0,13:04,2.0,4.0,SFO 49,0.0,0.0,Brock Purdy pass complete short right to Christian McCaffrey for 9 yards (tackle by Rayshawn Jenkins),2.06,2.79,10.0,2023,142
1.0,12:26,1.0,10.0,JAX 42,0.0,0.0,Brock Purdy pass complete short right to George Kittle for 29 yards (tackle by Rayshawn Jenkins),2.79,4.71,10.0,2023,142
1.0,11:42,1.0,10.0,JAX 13,6.0,0.0,"Brock Purdy pass complete short middle to Brandon Aiyuk for 13 yards, touchdown",4.71,7.0,10.0,2023,142
1.0,11:34,,,JAX 15,7.0,0.0,Jake Moody kicks extra point good,0.0,0.0,10.0,2023,142
1.0,11:34,,,SFO 35,7.0,0.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,142
1.0,11:34,1.0,10.0,JAX 25,7.0,0.0,Travis Etienne right end for no gain (tackle by Dre Greenlaw),0.61,0.06,10.0,2023,142
1.0,10:50,2.0,10.0,JAX 25,7.0,0.0,"Penalty on Jamal Agnew: False Start, 5 yards (accepted) (no play)",0.06,-0.61,10.0,2023,142
1.0,10:29,2.0,15.0,JAX 20,7.0,0.0,Trevor Lawrence pass complete short middle to Evan Engram for 5 yards (tackle by Talanoa Hufanga),-0.61,-0.62,10.0,2023,142
1.0,9:44,3.0,10.0,JAX 25,7.0,0.0,Trevor Lawrence sacked by Javon Hargrave for -5 yards,-0.62,-2.03,10.0,2023,142
1.0,9:15,4.0,15.0,JAX 20,7.0,0.0,"Logan Cooke punts 51 yards, returned by Ray-Ray McCloud for 9 yards (tackle by Chad Muma)",-2.03,-1.47,10.0,2023,142
1.0,8:59,1.0,10.0,SFO 38,7.0,0.0,Brock Purdy pass complete deep middle to Brandon Aiyuk for 21 yards (tackle by Tyson Campbell),1.47,2.85,10.0,2023,142
1.0,8:23,1.0,10.0,JAX 41,7.0,0.0,Christian McCaffrey right end for 9 yards (tackle by Roy Robertson-Harris and Rayshawn Jenkins),2.85,3.52,10.0,2023,142
1.0,7:42,2.0,1.0,JAX 32,7.0,0.0,Christian McCaffrey up the middle for 3 yards (tackle by Josh Allen),3.52,3.64,10.0,2023,142
1.0,7:00,1.0,10.0,JAX 29,7.0,0.0,Deebo Samuel left end for 2 yards (tackle by Foyesade Oluokun),3.64,3.37,10.0,2023,142
1.0,6:27,2.0,8.0,JAX 27,7.0,0.0,Brock Purdy pass incomplete short left intended for George Kittle,3.37,2.68,10.0,2023,142
1.0,6:22,3.0,8.0,JAX 27,7.0,0.0,Brock Purdy pass complete short right to Jauan Jennings for 8 yards (tackle by Tre Herndon),2.68,4.31,10.0,2023,142
1.0,5:51,1.0,10.0,JAX 19,7.0,0.0,Brock Purdy pass complete short left to Deebo Samuel for 6 yards (tackle by Josh Allen),4.31,4.72,10.0,2023,142
