Quarter,Time,Down,ToGo,Location,NYJ,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Raiders to receive the opening kickoff.",,,10.0,2023,149
1.0,15:00,,,NYJ 35,0.0,0.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,149
1.0,15:00,1.0,10.0,LVR 25,0.0,0.0,Aidan O'Connell pass incomplete short left intended for Davante Adams (defended by Jamien Sherwood),0.61,0.06,10.0,2023,149
1.0,14:56,2.0,10.0,LVR 25,0.0,0.0,Aidan O'Connell pass complete short right to Davante Adams for 6 yards (tackle by Jamien Sherwood and Jordan Whitehead),0.06,0.17,10.0,2023,149
1.0,14:23,3.0,4.0,LVR 31,0.0,0.0,Aidan O'Connell pass complete short middle to Davante Adams for 3 yards (tackle by Sauce Gardner),0.17,-1.11,10.0,2023,149
1.0,13:33,4.0,1.0,LVR 34,0.0,0.0,"AJ Cole punts 44 yards, fair catch by Xavier Gipson at NYJ-22",-1.11,-0.41,10.0,2023,149
1.0,13:26,1.0,10.0,NYJ 22,0.0,0.0,Breece Hall up the middle for 4 yards (tackle by Jerry Tillery),0.41,0.41,10.0,2023,149
1.0,12:52,2.0,6.0,NYJ 26,0.0,0.0,Breece Hall right guard for 1 yard (tackle by Bilal Nichols and John Jenkins),0.41,-0.16,10.0,2023,149
1.0,12:14,3.0,5.0,NYJ 27,0.0,0.0,"Zach Wilson pass complete short left to Garrett Wilson for 6 yards (tackle by Amik Robertson). Penalty on Malcolm Koonce: Defensive Offside, 5 yards (declined)",-0.16,1.14,10.0,2023,149
1.0,11:44,1.0,10.0,NYJ 33,0.0,0.0,Zach Wilson pass complete deep right to Garrett Wilson for 41 yards (tackle by Marcus Epps),1.14,3.84,10.0,2023,149
1.0,11:08,1.0,10.0,LVR 26,0.0,0.0,"Zach Wilson pass incomplete short middle. Penalty on Zach Wilson: Intentional Grounding, 10 yards (accepted)",3.84,1.95,10.0,2023,149
1.0,11:03,2.0,20.0,LVR 36,0.0,0.0,Dalvin Cook left tackle for 7 yards (tackle by Nate Hobbs),1.95,2.21,10.0,2023,149
1.0,10:21,3.0,13.0,LVR 29,0.0,0.0,Zach Wilson pass incomplete short right intended for Xavier Gipson,2.21,1.5,10.0,2023,149
1.0,10:18,4.0,13.0,LVR 29,3.0,0.0,Greg Zuerlein 47 yard field goal good,1.5,3.0,10.0,2023,149
1.0,10:13,,,NYJ 35,3.0,0.0,"Greg Zuerlein kicks off 65 yards, returned by DeAndre Carter for 25 yards (tackle by Jamien Sherwood)",0.0,0.61,10.0,2023,149
1.0,10:08,1.0,10.0,LVR 25,3.0,0.0,Josh Jacobs left guard for 2 yards (tackle by Quincy Williams and C.J. Mosley),0.61,0.33,10.0,2023,149
1.0,9:30,2.0,8.0,LVR 27,3.0,0.0,Aidan O'Connell pass complete deep left to Davante Adams for 42 yards (tackle by Jordan Whitehead),0.33,3.51,10.0,2023,149
1.0,8:39,1.0,10.0,NYJ 31,3.0,0.0,"Aidan O'Connell pass complete short left to Josh Jacobs for 9 yards (tackle by Jamien Sherwood). Penalty on Davante Adams: Offensive Pass Interference, 10 yards (accepted) (no play)",3.51,2.85,10.0,2023,149
1.0,8:21,1.0,20.0,NYJ 41,3.0,0.0,Aidan O'Connell pass complete short right to Ameer Abdullah for 4 yards (tackle by Quincy Williams),2.85,2.16,10.0,2023,149
1.0,7:42,2.0,16.0,NYJ 37,3.0,0.0,Aidan O'Connell pass complete short left to Davante Adams for 8 yards (tackle by D.J. Reed),2.16,2.54,10.0,2023,149
1.0,7:02,3.0,8.0,NYJ 29,3.0,0.0,Aidan O'Connell pass complete short right to Michael Mayer for 7 yards (tackle by Quincy Williams and C.J. Mosley),2.54,2.05,10.0,2023,149
1.0,6:18,4.0,2.0,NYJ 23,3.0,3.0,Daniel Carlson 41 yard field goal good,2.05,3.0,10.0,2023,149
1.0,6:15,,,LVR 35,3.0,3.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,149
1.0,6:15,1.0,10.0,NYJ 25,3.0,3.0,Breece Hall up the middle for 2 yards (tackle by Bilal Nichols),0.61,0.33,10.0,2023,149
1.0,5:38,2.0,8.0,NYJ 27,3.0,3.0,Breece Hall left tackle for 4 yards (tackle by John Jenkins),0.33,0.1,10.0,2023,149
1.0,4:50,3.0,5.0,NYJ 31,3.0,3.0,Zach Wilson pass complete short right to Xavier Gipson for 24 yards (tackle by Nate Hobbs),0.1,2.59,10.0,2023,149
1.0,4:04,1.0,10.0,LVR 45,3.0,3.0,Zach Wilson pass complete short left to Garrett Wilson for 5 yards (tackle by Marcus Epps),2.59,2.72,10.0,2023,149
1.0,3:29,2.0,5.0,LVR 40,3.0,3.0,Zach Wilson pass complete short left to Garrett Wilson for 8 yards (tackle by Amik Robertson and Divine Deablo),2.72,3.45,10.0,2023,149
1.0,2:55,1.0,10.0,LVR 32,3.0,3.0,Breece Hall right guard for 2 yards (tackle by Divine Deablo),3.45,3.17,10.0,2023,149
1.0,2:11,2.0,8.0,LVR 30,3.0,3.0,"Garrett Wilson left end for no gain (tackle by Robert Spillane). Penalty on C.J. Uzomah: Offensive Holding, 10 yards (accepted) (no play)",3.17,1.82,10.0,2023,149
1.0,2:03,2.0,18.0,LVR 40,3.0,3.0,Zach Wilson pass incomplete short right intended for Garrett Wilson,1.82,1.16,10.0,2023,149
1.0,1:56,3.0,18.0,LVR 40,3.0,3.0,Zach Wilson pass complete short right to Tyler Conklin for 5 yards (tackle by Nate Hobbs),1.16,0.97,10.0,2023,149
1.0,1:16,4.0,13.0,LVR 35,6.0,3.0,Greg Zuerlein 53 yard field goal good,0.97,3.0,10.0,2023,149
1.0,1:11,,,NYJ 35,6.0,3.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,149
1.0,1:11,1.0,10.0,LVR 25,6.0,3.0,"Aidan O'Connell aborted snap, recovered by Aidan O'Connell at LV-24 and returned for -1 yards",0.61,-0.07,10.0,2023,149
1.0,0:38,2.0,11.0,LVR 24,6.0,3.0,Aidan O'Connell pass short middle intended for Davante Adams is intercepted by Jordan Whitehead at LV-32 and returned for 6 yards (tackle by Michael Mayer),-0.07,-3.84,10.0,2023,149
1.0,0:27,,,,,,Timeout #1 by Las Vegas Raiders,,,10.0,2023,149
1.0,0:27,1.0,10.0,LVR 26,6.0,3.0,Breece Hall right guard for 1 yard (tackle by Jerry Tillery),3.84,3.43,10.0,2023,149
2.0,15:00,2.0,9.0,LVR 25,6.0,3.0,"Breece Hall left tackle for 5 yards (tackle by Amik Robertson and Marcus Epps). Penalty on Laken Tomlinson: Offensive Holding, 10 yards (accepted)",3.43,2.76,10.0,2023,149
2.0,14:36,2.0,14.0,LVR 30,6.0,3.0,Zach Wilson pass complete short middle to Garrett Wilson for 7 yards (tackle by Amari Burney),2.76,3.01,10.0,2023,149
2.0,13:56,3.0,7.0,LVR 23,6.0,3.0,"Zach Wilson scrambles for no gain, touchdown Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned. Zach Wilson scrambles right end for 20 yards (tackle by Nate Hobbs)",3.01,6.51,10.0,2023,149
2.0,13:33,1.0,3.0,LVR 3,6.0,3.0,"Breece Hall for no gain, touchdown. Penalty on C.J. Uzomah: Offensive Holding, 10 yards (accepted) (no play)",6.51,4.53,10.0,2023,149
2.0,13:27,1.0,13.0,LVR 13,6.0,3.0,Breece Hall up the middle for 1 yard (tackle by Jakorian Bennett),4.53,3.86,10.0,2023,149
2.0,12:42,2.0,12.0,LVR 12,6.0,3.0,Breece Hall right end for no gain (tackle by Maxx Crosby and Robert Spillane),3.86,3.1,10.0,2023,149
2.0,11:56,,,,,,Timeout #1 by New York Jets,,,10.0,2023,149
2.0,11:56,3.0,12.0,LVR 12,6.0,3.0,Zach Wilson pass incomplete short left intended for Michael Carter (defended by Adam Butler),3.1,2.63,10.0,2023,149
2.0,11:51,4.0,12.0,LVR 12,9.0,3.0,Greg Zuerlein 30 yard field goal good,2.63,3.0,10.0,2023,149
2.0,11:48,,,NYJ 35,9.0,3.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,149
2.0,11:48,1.0,10.0,LVR 25,9.0,3.0,Josh Jacobs up the middle for -2 yards (tackle by Tony Adams and Micheal Clemons),0.61,-0.21,10.0,2023,149
2.0,11:12,2.0,12.0,LVR 23,9.0,3.0,Josh Jacobs up the middle for 3 yards (tackle by C.J. Mosley),-0.21,-0.49,10.0,2023,149
2.0,10:32,3.0,9.0,LVR 26,9.0,3.0,Aidan O'Connell pass incomplete deep right intended for Davante Adams,-0.49,-1.63,10.0,2023,149
2.0,10:23,4.0,9.0,LVR 26,9.0,3.0,AJ Cole punts 55 yards out of bounds,-1.63,-0.15,10.0,2023,149
2.0,10:16,1.0,10.0,NYJ 19,9.0,3.0,Dalvin Cook right tackle for 10 yards (tackle by Divine Deablo),0.15,0.87,10.0,2023,149
2.0,9:36,1.0,10.0,NYJ 29,9.0,3.0,Dalvin Cook left tackle for 9 yards (tackle by Maxx Crosby and Bilal Nichols),0.87,1.54,10.0,2023,149
2.0,8:51,2.0,1.0,NYJ 38,9.0,3.0,Dalvin Cook left guard for no gain (tackle by John Jenkins and Maxx Crosby),1.54,0.83,10.0,2023,149
2.0,8:04,3.0,1.0,NYJ 38,9.0,3.0,Breece Hall up the middle for no gain (tackle by Robert Spillane and Jerry Tillery),0.83,-0.85,10.0,2023,149
2.0,7:28,4.0,1.0,NYJ 38,9.0,3.0,"Thomas Morstead punts 62 yards, touchback.",-0.85,-0.28,10.0,2023,149
2.0,7:18,1.0,10.0,LVR 20,9.0,3.0,Josh Jacobs right tackle for 4 yards (tackle by Solomon Thomas and C.J. Mosley),0.28,0.27,10.0,2023,149
2.0,6:43,2.0,6.0,LVR 24,9.0,3.0,Josh Jacobs left guard for 5 yards (tackle by Jordan Whitehead and C.J. Mosley),0.27,0.23,10.0,2023,149
2.0,6:05,3.0,1.0,LVR 29,9.0,3.0,Josh Jacobs right guard for 2 yards (tackle by Michael Carter and Solomon Thomas),0.23,1.0,10.0,2023,149
2.0,5:40,1.0,10.0,LVR 31,9.0,3.0,Josh Jacobs up the middle for 4 yards (tackle by C.J. Mosley),1.0,1.0,10.0,2023,149
2.0,5:15,2.0,6.0,LVR 35,9.0,3.0,Josh Jacobs right end for 5 yards (tackle by Sauce Gardner),1.0,0.96,10.0,2023,149
2.0,4:31,3.0,1.0,LVR 40,9.0,3.0,Aidan O'Connell up the middle for 3 yards (tackle by Tanzel Smart),0.96,1.8,10.0,2023,149
2.0,4:10,1.0,10.0,LVR 43,9.0,3.0,Aidan O'Connell pass complete short left to Jakobi Meyers for 13 yards (tackle by D.J. Reed),1.8,2.65,10.0,2023,149
2.0,3:27,1.0,10.0,NYJ 44,9.0,3.0,Aidan O'Connell pass complete deep middle to Davante Adams for 18 yards (tackle by Sauce Gardner),2.65,3.84,10.0,2023,149
2.0,3:00,1.0,10.0,NYJ 26,9.0,3.0,Aidan O'Connell sacked by Solomon Thomas for -8 yards,3.84,2.22,10.0,2023,149
2.0,2:18,2.0,18.0,NYJ 34,9.0,3.0,Aidan O'Connell pass incomplete short right,2.22,1.55,10.0,2023,149
2.0,2:07,3.0,18.0,NYJ 34,9.0,3.0,Aidan O'Connell sacked by John Franklin-Myers for -11 yards,1.55,0.27,10.0,2023,149
