Unnamed: 0,IND,NWE,week,year,game_id
First Downs,14,21,10.0,2023,138
Rush-Yds-TDs,26-70-1,36-167-0,10.0,2023,138
Cmp-Att-Yd-TD-INT,18-28-194-0-1,18-27-195-0-2,10.0,2023,138
Sacked-Yards,0-0,5-22,10.0,2023,138
Net Pass Yards,194,173,10.0,2023,138
Total Yards,264,340,10.0,2023,138
Fumbles-Lost,0-0,1-0,10.0,2023,138
Turnovers,1,2,10.0,2023,138
Penalties-Yards,4-34,5-34,10.0,2023,138
Third Down Conv.,5-13,6-14,10.0,2023,138
Fourth Down Conv.,2-2,1-1,10.0,2023,138
Time of Possession,25:35,34:25,10.0,2023,138
