Unnamed: 0,CAR,CHI,week,year,game_id
First Downs,12,21,10.0,2023,137
Rush-Yds-TDs,16-43-0,37-133-1,10.0,2023,137
Cmp-Att-Yd-TD-INT,21-38-185-0-0,20-33-162-0-0,10.0,2023,137
Sacked-Yards,3-15,0-0,10.0,2023,137
Net Pass Yards,170,162,10.0,2023,137
Total Yards,213,295,10.0,2023,137
Fumbles-Lost,1-0,0-0,10.0,2023,137
Turnovers,0,0,10.0,2023,137
Penalties-Yards,5-45,7-44,10.0,2023,137
Third Down Conv.,3-15,6-15,10.0,2023,137
Fourth Down Conv.,3-3,1-1,10.0,2023,137
Time of Possession,26:29,33:31,10.0,2023,137
