Quarter,Time,Down,ToGo,Location,IND,NWE,Detail,EPB,EPA,week,year,game_id
1.0,0:58,,,IND 35,7.0,3.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,10.0,2023,138
1.0,0:58,1.0,10.0,NWE 25,7.0,3.0,Mac Jones pass complete short right to Rhamondre Stevenson for 7 yards (tackle by Zaire Franklin),0.61,1.01,10.0,2023,138
1.0,0:23,2.0,3.0,NWE 32,7.0,3.0,Rhamondre Stevenson up the middle for 2 yards (tackle by E.J. Speed and DeForest Buckner),1.01,0.56,10.0,2023,138
2.0,15:00,3.0,1.0,NWE 34,7.0,3.0,Rhamondre Stevenson right guard for 3 yards (tackle by E.J. Speed and DeForest Buckner),0.56,1.4,10.0,2023,138
2.0,14:27,1.0,10.0,NWE 37,7.0,3.0,"Mac Jones pass complete short middle to Hunter Henry for 3 yards. Hunter Henry fumbles (forced by Zaire Franklin), recovered by David Andrews at NE-41",1.4,1.4,10.0,2023,138
2.0,13:41,2.0,6.0,NWE 41,7.0,3.0,Ezekiel Elliott right guard for 2 yards (tackle by Kenny Moore),1.4,0.96,10.0,2023,138
2.0,13:08,3.0,4.0,NWE 43,7.0,3.0,Mac Jones sacked by Dayo Odeyingbo for -5 yards,0.96,-0.85,10.0,2023,138
2.0,12:39,4.0,9.0,NWE 38,7.0,3.0,"Bryce Baringer punts 49 yards, fair catch by Isaiah McKenzie at IND-13",-0.85,0.32,10.0,2023,138
2.0,12:33,1.0,10.0,IND 13,7.0,3.0,Gardner Minshew pass incomplete deep right,-0.32,-0.77,10.0,2023,138
2.0,12:25,2.0,10.0,IND 13,7.0,3.0,Gardner Minshew pass incomplete short right intended for Kylen Granson (defended by Lawrence Guy),-0.77,-1.42,10.0,2023,138
2.0,12:21,3.0,10.0,IND 13,7.0,3.0,Gardner Minshew pass incomplete short left intended for Will Mallory,-1.42,-2.49,10.0,2023,138
2.0,12:17,4.0,10.0,IND 13,7.0,3.0,Rigoberto Sanchez punts 69 yards downed by Tony Brown,-2.49,-0.04,10.0,2023,138
